Occupation_Accountant,Occupation_Architect,Occupation_Developer,Occupation_Doctor,Occupation_Engineer,Occupation_Entrepreneur,Occupation_Journalist,Occupation_Lawyer,Occupation_Manager,Occupation_Mechanic,Occupation_Media_Manager,Occupation_Musician,Occupation_Scientist,Occupation_Teacher,Occupation_Writer,Payment_of_Min_Amount_No,Payment_of_Min_Amount_Yes,Payment_Behaviour_High_spent_Large_value_payments,Payment_Behaviour_High_spent_Medium_value_payments,Payment_Behaviour_High_spent_Small_value_payments,Payment_Behaviour_Low_spent_Large_value_payments,Payment_Behaviour_Low_spent_Medium_value_payments,Payment_Behaviour_Low_spent_Small_value_payments,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age_in_months,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10183.015,1074.5845833333333,7,5,17.0,5,48,21,7.97,8.0,1672.43,33.72430069146658,132,37.58807283812568,66.98367928238576,292.8867062128219
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12600.445,782.0370833333334,5,5,10.0,3,25,19,15.79,11.0,569.8,33.64942832302815,155,26.060347529205966,63.565427864540865,278.5779329395865
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20787.69,1999.3075,8,6,14.0,3,22,14,1.13,3.0,614.6,38.95299631544785,222,42.22199265643221,49.50353558666441,358.20522175690337
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20787.69,1999.3075,8,6,14.0,3,22,15,1.13,3.0,614.6,26.54850967751556,224,42.22199265643221,257.6586730041918,190.05008433937599
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20787.69,1999.3075,8,6,14.0,3,22,14,1.13,5.0,614.6,35.33001552852757,225,42.22199265643221,106.32884739776199,341.3799099458058
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,34290.12,2697.51,9,8,25.0,7,49,9,13.96,13.0,2686.81,38.94266783614944,172,185.1119825795006,167.28030215512513,187.35871526537437
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,34290.12,2697.51,9,8,25.0,7,52,11,13.96,13.0,2686.81,34.77166896023211,174,185.1119825795006,50.450375180479476,284.18864224002004
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,34290.12,2697.51,9,8,25.0,7,52,10,12.96,13.0,2686.81,24.08827489180331,175,185.1119825795006,64.12030667631363,260.51871074418585
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,43070.24,3622.186666666666,3,3,18.0,1,6,8,5.9700000000000015,8.0,1233.1,27.548973092343964,240,30.57608482316153,142.3748859905269,449.2676958529782
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,43070.24,3622.186666666666,3,3,18.0,1,11,7,8.97,8.0,1233.1,31.553922400187425,241,30.57608482316153,28.187146041020004,543.4554358024851
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,28572.39,2210.0325,6,3,15.0,3,25,12,4.89,2.0,400.07,31.909035592946104,374,69.60292048199007,139.64054008224986,271.75978943576007
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,39641.54,3007.461666666666,10,211,25.0,6,61,13,1.54,8.0,2258.73,32.77593660463945,112,172.38252735862687,159.88123200781456,258.4824073002253
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20186.02,1684.168333333333,1,5,1.0,2,5,5,6.83,4.0,413.32,40.296580610984286,229,29.534583720496048,55.934633624194056,332.9476159886433
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,18627.64,1387.303333333333,7,7,19.0,6,31,23,5.07,7.0,1793.54,34.78982153993944,235,65.13948777561222,74.3042407099912,259.2866048477299
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12986.745,959.22875,4,3,10.0,2,27,17,11.8,7.0,1489.49,25.77541495147188,112,16.719300227776053,99.16492465658865,260.0386501156353
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12986.745,959.22875,4,3,10.0,2,30,16,11.8,7.0,1489.49,26.415502246528455,113,16.719300227776053,49.9102338322073,319.2933409400166
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12986.745,959.22875,4,3,10.0,2,30,14,11.8,7.0,1489.49,27.34509835554881,115,16.719300227776053,76.18991869541101,283.01365607681294
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,58317.0,4664.75,8,5,9.0,6,18,20,16.58,10.0,98.97,36.34203464170722,165,149.89719942100822,162.73642005944185,433.84138051954994
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,58317.0,4664.75,8,5,9.0,6,15,20,16.58,10.0,98.97,27.66897220867021,167,149.89719942100822,112.7241835063515,443.8536170726403
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,42171.98,3764.331666666667,2,7,10.0,3,8,11,2.58,4.0,556.91,28.76152739499421,266,102.7629131170904,304.8093010913887,238.8609524581876
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,71681.4,5799.45,3,6,15.0,-100,8,8,10.44,0.0,1293.02,23.808046098437945,315,53.92351397165268,306.99628734014715,479.02519868820013
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,29469.98,2227.8316666666665,7,7,24.0,5,49,21,26.94,12.0,3421.66,32.59207553656722,167,69.68545857227979,31.60260520923378,361.49510288515313
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,72559.36,6284.613333333334,4,5,17.0,4,14,19,2.74,5.0,1173.7,29.71024332258681,346,215.83917063897167,374.79606860115365,297.8260940932082
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15566.02,1423.168333333333,8,5,32.0,4,12,20,3.24,9.0,1693.95,30.77530249613676,103,43.07051960231588,85.06097027152596,304.1853434594915
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15566.02,1423.168333333333,8,5,32.0,4,17,20,9.24,9.0,1693.95,24.03584985300275,104,43.07051960231588,147.41818402641738,241.82812970460012
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,66567.32,5800.276666666668,5,7,5.0,2,7,15,5.67,2.0,233.79,26.47501157048493,300,100.18936089086122,107.65137008979313,622.1869356860124
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,66567.32,5800.276666666668,5,7,5.0,2,7,15,5.67,2.0,233.79,40.303827080568375,302,100.18936089086122,100.39587069098451,619.442435084821
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,30788.44,2623.703333333333,7,9,31.0,6,50,21,20.73,9.0,3470.08,36.226656344628886,24,114.533020898938,296.1071984225468,141.7301140118485
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,30788.44,2623.703333333333,7,9,31.0,6,44,20,17.73,13.0,3470.08,33.491468635341825,25,114.533020898938,343.2481544688096,94.5891579655858
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,20574.47,1740.539166666667,6,3,14.0,4,6,10,14.74,11.0,749.95,39.73211698649768,139,49.348666321498655,65.93064944867074,328.7746008964973
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20574.47,1740.539166666667,6,3,14.0,4,6,12,10.74,11.0,749.95,34.37783509597484,140,49.348666321498655,43.565264788859864,321.13998555630815
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,148699.32,12432.61,3,4,5.0,3,13,4,9.2,1.0,949.38,32.94616475327622,377,364.9151774048712,1049.8682168332366,108.47760576189215
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,148699.32,12432.61,3,4,5.0,3,13,6,9.2,1.0,949.38,30.13624117588956,378,364.9151774048712,296.80468401164023,821.5411385834888
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,55829.79,4369.4825,10,10,18.0,8,30,21,27.99,11.0,3422.49,36.47040878115544,133,314.90178526768176,349.47676962445365,62.56969510786456
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,55829.79,4369.4825,10,10,18.0,8,30,16,27.99,11.0,3422.49,25.42853525508577,135,314.90178526768176,374.60610659022217,27.440358142096105
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,55829.79,4369.4825,10,10,4224.0,8,34,20,27.99,15.0,3422.49,26.42666790426557,136,314.90178526768176,137.49104896203892,234.55541577027932
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,87215.68,7489.973333333332,2,6,8.0,2,2,6,10.98,0.0,680.77,26.45454790745145,259,121.68201673654264,579.8625969032331,317.4527196935575
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,81842.28,6810.19,10,9,25.0,9,20,19,16.25,11.0,3053.16,34.64095601413508,13,574.0657978713467,55.371438115591175,291.58176401306196
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,95956.5,8279.375,8,4,11.0,2,28,10,12.94,7.0,1079.73,41.72201510339915,389,95.5216287821567,206.3335930448604,766.0822781729829
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,95956.5,8279.375,8,4,11.0,2,23,10,7.939999999999999,7.0,1079.73,28.91782480697284,390,95.5216287821567,437.49003829964835,574.9258329181949
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,49967.01,4091.9175,6,5,31.0,6,27,13,19.87,12.0,2253.95,29.132503896515377,210,156.00331166279182,450.92634217999466,92.26209615721348
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,49967.01,4091.9175,6,5,31.0,6,27,11,16.87,12.0,2253.95,26.041476458839284,211,156.00331166279182,120.77377718668968,412.4146611505183
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,49967.01,4091.9175,6,5,31.0,6,27,12,19.87,12.0,2253.95,26.3161966456708,213,156.00331166279182,189.42998072111018,323.75845761609787
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,39887.22,3224.935,9,9,16.0,5,57,19,22.25,14.0,3119.6,32.08834596649757,158,133.47084524343262,132.51971818231706,306.5029365742504
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,39887.22,3224.935,9,9,16.0,5,55,19,17.25,368.0,3119.6,34.516948022564755,160,133.47084524343262,352.1155274542753,126.90712730229212
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,14129.76,1023.2175884600924,8,5,21.0,8,62,18,5.51,6.0,4071.62,30.47662041670941,160,70.97506654794734,14.896878082403019,254.63846690955742
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,14129.76,1023.2175884600924,8,5,21.0,8,62,16,5.51,8.0,4071.62,35.591864492457645,162,77521.0,103.66546556775072,205.8698794242097
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,17251.38,1654.615,6,3,7.0,7,8,18,15.06,10.0,2431.64,37.63832057733276,147,57.35116518894053,38.113064605134475,329.99727020592496
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36822.29,3132.524166666666,8,7,6.0,4,14,19,5.79,5.0,125.25,23.9825937667405,304,95.8007129241996,48.255463313051976,409.1962404294151
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36822.29,3132.524166666666,8,7,6.0,4,14,19,5.79,5.0,125.25,30.366771673201672,305,95.8007129241996,84.65669024985695,382.7950134926101
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,69977.6,5978.466666666667,10,7,20.0,9,49,18,6.81,15.0,3042.36,34.69890141102788,162,485.75043098703753,205.5147384650663,186.5814972145629
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,78988.48,6449.373333333332,9,5,29.0,7,27,19,15.27,10.0,1746.9,28.4224252950053,132,291.78276034215287,152.13827299230454,461.016299998876
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,41746.76,3651.896666666667,8,5,31.0,3,57,21,16.810000000000002,11.0,1936.79,32.682896118289925,238,102.28339754384292,168.1213269014578,364.78494222136595
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,41746.76,3651.896666666667,8,5,31.0,3,62,21,9.81,1836.0,1936.79,32.36420486172926,239,102.28339754384292,82.65512862023077,420.2511405025931
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,73737.36,5936.78,7,3,18.0,4,20,23,13.92,2.0,1219.39,30.877438089901627,381,214.8134632011097,160.9675294633013,467.8970073355889
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,88362.46,7255.538333333334,5,2,8.0,3,15,8,11.01,6.0,325.93,29.97310198091432,378,211.1843903373817,314.1270048541402,460.24243814181153
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,60162.1,5197.508333333333,5,7,5.0,7,18,10,14.79,9.0,1037.45,35.9681581457689,168,220.2137267039484,437.96138947503647,151.57571715434852
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,75273.24,6424.022011446845,8,6,5104.0,5,50,9,12.8,8.0,2497.34,37.81143857196421,70,351.36704467467814,270.2923567594496,412.36558711902916
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,54820.89,4295.4075,8,7,28.0,6,41,17,20.42,11.0,4795.13,29.84794832139709,45,169.48198431622052,325.68127145626,224.37749422751958
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,58674.66,4824.555,8,5,15.0,4,57,25,2.29,11.0,2425.38,37.12594447768069,167,116.10341691461672,637.494468902599,18.85761418278429
